,full_name,player_id,year,player_age,league,Total_WAR,WAR_bat,WAR_pit,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg
0,Tom Murphy,608596,2022,31,AL,,,,,,,,,,,,,,,,,,
1,Steven Kwan,680757,2022,25,AL,,,,,,,,,,,,,,,,,,
2,Ji-Man Choi,596847,2022,31,AL,,,,,,,,,,,,,,,,,,
3,AJ Pollock,572041,2022,34,AL,,,,,,,,,,,,,,,,,,
4,Danny Jansen,643376,2022,27,AL,,,,,,,,,,,,,,,,,,
5,Wander Franco,677551,2022,21,AL,,,,,,,,,,,,,,,,,,
6,Cam Gallagher,595956,2022,29,AL,,,,,,,,,,,,,,,,,,
7,Ernie Clement,676391,2022,26,AL,,,,,,,,,,,,,,,,,,
8,Owen Miller,680911,2022,25,AL,,,,,,,,,,,,,,,,,,
9,Austin Allen,664119,2022,28,AL,,,,,,,,,,,,,,,,,,
10,Nick Gordon,624503,2022,26,AL,,,,,,,,,,,,,,,,,,
11,Austin Meadows,640457,2022,27,AL,,,,,,,,,,,,,,,,,,
12,Jose Siri,642350,2022,26,AL,,,,,,,,,,,,,,,,,,
13,Matt Duffy,622110,2022,31,AL,,,,,,,,,,,,,,,,,,
14,Jack Mayfield,608686,2022,31,AL,,,,,,,,,,,,,,,,,,
15,Jose Ramirez,608070,2022,29,AL,,,,,,,,,,,,,,,,,,
16,Jonah Heim,641680,2022,27,AL,,,,,,,,,,,,,,,,,,
17,Luis Arraez,650333,2022,25,AL,,,,,,,,,,,,,,,,,,
18,Andrew Benintendi,643217,2022,27,AL,,,,,,,,,,,,,,,,,,
19,George Springer,543807,2022,32,AL,,,,,,,,,,,,,,,,,,
20,Charlie Culberson,518586,2022,33,AL,,,,,,,,,,,,,,,,,,
21,Andrew Vaughn,683734,2022,24,AL,,,,,,,,,,,,,,,,,,
22,Manuel Margot,622534,2022,27,AL,,,,,,,,,,,,,,,,,,
23,Amed Rosario,642708,2022,26,AL,,,,,,,,,,,,,,,,,,
24,Alex Bregman,608324,2022,28,AL,,,,,,,,,,,,,,,,,,
25,Anthony Santander,623993,2022,27,AL,,,,,,,,,,,,,,,,,,
26,Rafael Devers,646240,2022,25,AL,,,,,,,,,,,,,,,,,,
27,Harold Ramirez,623912,2022,27,AL,,,,,,,,,,,,,,,,,,
28,Francisco Mejia,642336,2022,26,AL,,,,,,,,,,,,,,,,,,
29,Luis Robert,673357,2022,24,AL,,,,,,,,,,,,,,,,,,
30,Kurt Suzuki,435559,2022,38,AL,,,,,,,,,,,,,,,,,,
31,Sheldon Neuse,641914,2022,27,AL,,,,,,,,,,,,,,,,,,
32,Teoscar Hernandez,606192,2022,29,AL,,,,,,,,,,,,,,,,,,
33,Stephen Piscotty,572039,2022,31,AL,,,,,,,,,,,,,,,,,,
34,Santiago Espinal,669289,2022,27,AL,,,,,,,,,,,,,,,,,,
35,Jose Abreu,547989,2022,35,AL,,,,,,,,,,,,,,,,,,
36,Nicky Lopez,670032,2022,27,AL,,,,,,,,,,,,,,,,,,
37,Michael Brantley,488726,2022,35,AL,,,,,,,,,,,,,,,,,,
